Patient_ID,Gender,City,Country,nombre,apellido1,apellido2,Age,altura_cm,peso_kg,dni,nuss
,,,,,,,,,,,
0,Female,Barcelona,Spain,Raquel,Castro,Fernandez,47,157.5,75.9,20250575H,089952370828
1,Female,Barcelona,Spain,Irene,Ortega,Perez,60,169.2,88.2,51691761C,082141616182
2,Female,Barcelona,Spain,Meritxell,Flores,Dalmau,85,161.3,74.1,14792464Z,089667689063
3,Female,Barcelona,Spain,Gemma,Gutierrez,Gisbert,25,164.7,82,87460880E,081856314934
4,Female,Barcelona,Spain,Marta,Vidal,Pascual,64,164.7,82.7,46899026W,083191569747
5,Female,Barcelona,Spain,Ana,Sanz,Molina,38,160.2,73.5,83222622C,083050847908
6,Female,Barcelona,Spain,Lorena,Santos,Ortiz,61,167.2,66.7,42865638D,089539273490
7,Female,Barcelona,Spain,Esther,Torres,Serrano,81,159,61.9,24302274Z,086796874740
8,Female,Barcelona,Spain,Montserrat,Font,Cruz,25,158,61.7,66851001Y,085266855041
9,Male,Barcelona,Spain,Eric,Bernat,Prieto,26,171.7,68.8,82831832T,085152980778
10,Female,Barcelona,Spain,Daniela,Ruiz,Fernandez,58,159.2,54.7,45660624N,085666158369
11,Female,Barcelona,Spain,Marta,Gutierrez,Puig,50,166.8,81.2,24311789F,084331678748
12,Male,Barcelona,Spain,Fernando,Perez,Bernat,77,171.5,92.8,67766229H,085662823589
13,Female,Barcelona,Spain,Ariadna,Gisbert,Marti,25,159.6,64.5,86158052Y,087111792617
14,Female,Barcelona,Spain,Julia,Gomez,Santos,54,165.6,79.3,33446236G,086004368774
15,Female,Barcelona,Spain,Carla,Marin,Navarro,57,169,90.9,53182592Z,087531447656
16,Female,Barcelona,Spain,Ines,Flores,Medina,61,158,66.1,90340015V,085331750869
17,Female,Barcelona,Spain,Berta,Delgado,Cabrera,46,155.1,70.4,38791979H,082677133984
18,Male,Barcelona,Spain,David,Castro,Castro,24,172.7,76.3,17105774F,082842235765
19,Female,Barcelona,Spain,Isabel,Gil,Alonso,66,150.9,65.8,93587184T,086271664095
20,Female,Barcelona,Spain,Claudia,Mendez,Castillo,69,160.3,54.8,34975586S,088859093225
21,Male,Barcelona,Spain,Gonzalo,Dalmau,Ruiz,67,178.7,96.1,66953245S,082425826283
22,Female,Barcelona,Spain,Paula,Serra,Garcia,56,157.2,64.2,65530753G,082294101293
23,Male,Barcelona,Spain,Jorge,Dalmau,Planellas,74,182.2,79.6,51545261F,085407676611
24,Female,Barcelona,Spain,Isabel,Gil,Vidales,77,156.7,55.8,30639070B,085548870215
25,Male,Barcelona,Spain,Javier,Gisbert,Iglesias,72,173.1,83.3,20563365P,081122815684
26,Male,Barcelona,Spain,Mario,Vila,Iglesias,63,169.6,87,59275394R,085047905631
27,Female,Barcelona,Spain,Montserrat,Sanchez,Medina,56,172.2,85.1,79528116G,088798753868
28,Male,Barcelona,Spain,Juan Carlos,Vidal,Riera,49,165.8,74,94555980J,088047463408
29,Male,Barcelona,Spain,Bernat,Planellas,Font,61,175.1,93.4,78668574H,081280105430
30,Male,Barcelona,Spain,Fernando,Nuñez,Soler,38,173.2,79.9,55638393J,087110622553
31,Male,Barcelona,Spain,Joan,Ortiz,Ortiz,80,164.8,85.8,29366552Z,084981391014
