"Patient_ID","Age","Gender","Year","Genetic_Risk","Air_Pollution","Alcohol_Use","Smoking","Obesity_Level","Cancer_Type","Cancer_Stage","Treatment_Cost_USD","Survival_Years","Target_Severity_Score","Gender_n","Stage_n","City","Country","diagnostico","Dieta_rica_en_grasas_animales","Sedentarismo","Diabetes_tipo_2","Antecedentes_Familiares","Componente_Hereditario","Sindromes_Predisponentes","Enfermedad_Inflamatoria_Intestinal","FOBT_Resultado_n","FOBT_Resultado..Sangre.en.heces.","CEA_Level_ng_mL..Marcador.Tumoral.","nombre","apellido1","apellido2","altura_cm","peso_kg","dni","nuss"
"PT0000003",40,"Male",2015,1.7,2.9,4.8,3.5,2.7,"Colon","Stage I",67446.25,1.6,3.12,0,1,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.2,"Javier","Martinez","Garcia",196.4,73.9,"44980690G","081947093800"
"PT0000016",77,"Other",2017,8.9,4.3,1.9,8.2,3.7,"Colon","Stage III",59285.13,0.5,5.53,2,3,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",3.51,"Laura","Gomez","Martinez",189.6,70.8,"29751242Y","086802316743"
"PT0000026",81,"Female",2018,0.5,2,5,0.7,2.8,"Colon","Stage II",85715.44,6.4,1.86,1,2,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",3.62,"Maria","Garcia","Sanchez",167.1,88.7,"13578727X","081597994638"
"PT0000028",74,"Other",2019,7.4,2.4,5,2.2,4.9,"Colon","Stage III",97036.73,9.7,3.58,2,3,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",3.56,"Carmen","Martinez","Sanchez",162.8,63,"47928435T","086715939960"
"PT0000045",66,"Female",2019,7.6,3.4,8.5,0,4.2,"Colon","Stage 0",69635.19,8.9,4.33,1,0,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",17.4,"Elena","Sanchez","Sanchez",148.4,67.9,"52238476W","085928217007"
"PT0000065",72,"Male",2022,5.4,9.4,8.7,4.4,6.2,"Colon","Stage II",52839.84,0.5,6.24,0,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",11.13,"David","Sanchez","Martinez",189.1,66.4,"26939963V","082552666517"
"PT0000074",28,"Female",2016,6,3.2,0,6.7,9.1,"Colon","Stage 0",51856.9,4.1,4.89,1,0,"Barcelona","Spain",1,0,1,0,1,0,0,0,0,"Negative",7.59,"Maria","Garcia","Garcia",167.6,64.9,"74983015W","088643792429"
"PT0000081",54,"Male",2018,2.2,1.6,3.9,9.2,9.1,"Colon","Stage IV",98462.54,9.7,4.05,0,4,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",3.28,"Luis","Garcia","Martinez",196.8,54.7,"11007132E","081124603821"
"PT0000106",70,"Other",2020,6.8,0.8,5.8,8,1.1,"Colon","Stage II",25968.1,5.1,5.54,2,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",8.5,"Ana","Perez","Garcia",171.6,64.3,"87188578V","087448536706"
"PT0000116",51,"Male",2020,6.4,3,4.2,4.4,0.1,"Colon","Stage II",61223.49,8.6,4.03,0,2,"Barcelona","Spain",1,1,0,0,1,0,0,0,1,"Positive",8.05,"Javier","Perez","Perez",186.9,75.4,"72502669E","088507070424"
"PT0000119",85,"Male",2019,8.1,9.9,1.5,9.1,1.8,"Colon","Stage I",77788.94,8.5,5.77,0,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",0.1,"Javier","Garcia","Martinez",168.9,53.8,"60575910M","084926526396"
"PT0000125",47,"Female",2018,1.9,3.8,2.2,4.6,2.6,"Colon","Stage II",70652.73,0.8,3.05,1,2,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",1.5,"Ana","Martinez","Garcia",169,49.8,"57293815X","089200427131"
"PT0000126",47,"Male",2015,5.5,4.7,2.6,5.5,0.6,"Colon","Stage I",63739.83,1,4.08,0,1,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",14.44,"Carlos","Martinez","Perez",156.9,52.6,"71621166V","088533889308"
"PT0000144",51,"Other",2021,5.4,0.3,6.5,1.6,0.7,"Colon","Stage 0",14610.81,6.3,4.2,2,0,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",10.74,"Lucia","Gomez","Lopez",164.6,66.8,"38808529P","087837451031"
"PT0000149",31,"Male",2016,4.7,6.9,10,5.7,7.4,"Colon","Stage IV",84927.04,7,5.66,0,4,"Barcelona","Spain",1,1,1,1,0,0,0,0,1,"Positive",8.33,"Juan","Martinez","Perez",183.5,62.3,"26009223H","084851073029"
"PT0000155",21,"Female",2021,2,0.4,6.5,3.3,7.2,"Colon","Stage IV",86359.7,4.4,3.09,1,4,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",2.37,"Maria","Perez","Perez",145.9,68.8,"84353113S","083057895057"
"PT0000156",21,"Female",2017,8.6,5.7,5.2,4.8,6.8,"Colon","Stage II",66681.25,2.6,5.66,1,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",6.65,"Laura","Perez","Sanchez",152.1,67.8,"76228184C","083064643328"
"PT0000180",78,"Male",2023,4.7,9.8,7.7,3.9,2.5,"Colon","Stage IV",53331.09,1.6,5.53,0,4,"Barcelona","Spain",1,1,0,0,1,0,0,0,0,"Negative",5.78,"David","Garcia","Lopez",195.7,70.7,"30787815S","081106657710"
"PT0000190",20,"Female",2021,0.4,7.8,3.8,1.5,6,"Colon","Stage IV",45027.84,2,3.82,1,4,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.31,"Carmen","Garcia","Perez",175.8,60.9,"58363805V","086305076252"
"PT0000191",30,"Male",2022,5.5,4.5,6.1,0.4,5.9,"Colon","Stage IV",70500.13,1.4,3.95,0,4,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.08,"Juan","Perez","Gomez",191.9,75.2,"78944278K","089786178203"
"PT0000196",61,"Other",2020,3.3,6.2,5.1,7.8,9,"Colon","Stage 0",14146.41,9.2,6.53,2,0,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",9.28,"Lucia","Martinez","Martinez",149.1,65.5,"93095069Q","089391329902"
"PT0000199",79,"Female",2019,9.4,5,4.9,8.4,2.7,"Colon","Stage I",62954.82,2.6,6.06,1,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",11.37,"Carmen","Sanchez","Sanchez",156.6,53.4,"34485921C","084530936754"
"PT0000235",36,"Other",2022,3.8,8.9,6.8,3.9,9.5,"Colon","Stage III",91459.45,9.6,5.02,2,3,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",1.99,"Maria","Sanchez","Garcia",151.3,81.9,"65702239W","081121569438"
"PT0000270",51,"Male",2019,6.8,8.3,0.2,6.9,0.2,"Colon","Stage 0",92448.99,1.9,4.19,0,0,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",2.68,"Pedro","Perez","Martinez",179.6,92.7,"49438725H","088384125247"
"PT0000277",86,"Other",2019,2,6,6.3,2.2,9.4,"Colon","Stage IV",8441.33,6.6,5.46,2,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",5.54,"Lucia","Garcia","Perez",157.7,71.9,"18173776G","084082613666"
"PT0000285",21,"Other",2023,0.2,1.6,8.8,8.5,9.2,"Colon","Stage III",63561.03,9.1,4.95,2,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",6.77,"Ana","Gomez","Perez",166.7,76.2,"22413543C","081845955738"
"PT0000290",67,"Other",2020,2.1,0.7,9.5,4.1,2.2,"Colon","Stage I",7105.25,3.3,4.85,2,1,"Barcelona","Spain",1,1,0,0,0,0,0,0,0,"Negative",5.07,"Carmen","Sanchez","Gomez",128,58.3,"29056035C","081023759688"
"PT0000297",32,"Other",2023,5,9.3,5.3,7.3,6.5,"Colon","Stage III",62881.04,1.1,6.04,2,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",5.29,"Lucia","Lopez","Lopez",150.2,55.4,"17099361B","085270925304"
"PT0000303",39,"Other",2015,8.8,7.7,4.3,2.7,6.6,"Colon","Stage I",36015.71,9.9,6.04,2,1,"Barcelona","Spain",1,0,1,1,1,0,0,0,1,"Positive",5.12,"Ana","Perez","Perez",146.5,89.7,"23598360S","083073674129"
"PT0000304",84,"Female",2024,2.8,7.4,5.4,8.8,1.7,"Colon","Stage IV",91421.17,4.9,4.58,1,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",5.56,"Carmen","Perez","Lopez",175.8,53.5,"99911227D","083481932274"
